VendorId, ServiceId, ProductId, CircleCode, MSISDN, Provisioned-ServiceId, ResultCode, Result Description,Time
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:32.5
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:32.6
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:32.6
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:32.7
1,100226,11099,PB,9.20E+11,100226,124,Below minimum balance,38:32.7
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:32.8
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:32.9
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:33.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:33.1
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:33.2
1,505600900,6200,AS,9.20E+11,505600900,124,Below minimum balance,38:33.2
1,80970023,11012,UPW,9.20E+11,80970023,124,Below minimum balance,38:33.3
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:33.3
1,80970023,11012,UPW,9.20E+11,80970023,124,Below minimum balance,38:33.3
1,209626,11106,HAR,9.20E+11,209626,102,Subscriber not found,38:33.4
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:33.5
1,8097093,10848,UPW,9.20E+11,8097093,124,Below minimum balance,38:33.6
1,405226,7571,BIH,9.20E+11,405226,124,Below minimum balance,38:33.7
1,405226,7571,BIH,9.20E+11,405226,124,Below minimum balance,38:33.7
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:33.7
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:33.8
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:33.8
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:33.9
1,10020023,11006,PB,9.20E+11,10020023,0,Response Success,38:33.9
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:34.0
1,80970023,11012,UPW,9.20E+11,80970023,124,Below minimum balance,38:34.2
1,8097169,11129,UPW,9.20E+11,8097169,124,Below minimum balance,38:34.2
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:34.2
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:34.4
1,7054000023,10998,UPE,9.20E+11,7054000023,0,Response Success,38:34.4
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:34.4
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:34.6
1,7054000023,10998,UPE,9.20E+11,7054000023,124,Below minimum balance,38:34.7
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:34.8
1,8097093,10848,UPW,9.20E+11,8097093,124,Below minimum balance,38:34.8
1,405226,7571,BIH,9.20E+11,405226,0,Response Success,38:34.8
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:34.9
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:35.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:35.1
1,8090726,11100,UPW,9.20E+11,8090726,124,Below minimum balance,38:35.1
1,8090726,11100,UPW,9.20E+11,8090726,124,Below minimum balance,38:36.3
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:36.3
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:36.4
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:36.6
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:36.7
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:36.7
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:36.7
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:36.9
1,10020023,11006,PB,9.20E+11,10020023,124,Below minimum balance,38:37.0
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.2
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.3
1,50560023,7521,AS,9.17E+11,50560023,124,Below minimum balance,30:01.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.3
1,5056169,7591,AS,9.17E+11,5056169,124,Below minimum balance,30:01.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.5
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:01.8
1,505600900,6200,AS,9.17E+11,505600900,124,Below minimum balance,30:01.8
1,505600900,6200,AS,9.17E+11,505600900,0,Response Success,30:02.1
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:02.2
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:02.3
